AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	geographic_location_country_and_or_sea	lat_lon	sex	tissue_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
192	SAMEA2338595	2014-01-10	ERX373431	150	NG-5241_STD.BS15	2014-02-25	55	34	2014-03-03	ERR407070	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373432	150	NG-5241_STD.BS15	2014-02-25	49	31	2014-03-03	ERR407071	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373433	150	NG-5241_STD.BS15	2014-02-25	48	30	2014-03-03	ERR407072	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373434	150	NG-5241_STD.BS15	2014-02-25	52	33	2014-03-03	ERR407073	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373435	150	NG-5241_STD.BS15	2014-02-25	48	31	2014-03-03	ERR407074	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373436	150	NG-5241_STD.BS16	2014-02-25	910	644	2014-03-03	ERR407075	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373437	150	NG-5241_STD.BS16	2014-02-25	891	629	2014-03-03	ERR407076	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373438	150	NG-5241_STD.BS16	2014-02-25	159	92	2014-03-03	ERR407077	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373439	150	NG-5241_STD.BS16	2014-02-25	162	97	2014-03-03	ERR407078	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373440	150	NG-5241_STD.BS16	2014-02-25	161	96	2014-03-03	ERR407079	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373441	150	NG-5241_STD.BS16	2014-02-25	165	100	2014-03-03	ERR407080	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338565	2014-01-10	ERX373442	150	NG-5241_STD.BS16	2014-02-25	163	99	2014-03-03	ERR407081	ERS391918	BS16	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373443	150	NG-5241_STD.BS17	2014-02-25	489	362	2014-03-03	ERR407082	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373444	150	NG-5241_STD.BS17	2014-02-25	319	222	2014-03-03	ERR407083	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373445	150	NG-5241_STD.BS17	2014-02-24	321	223	2014-03-02	ERR407084	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373446	150	NG-5241_STD.BS17	2014-02-24	329	233	2014-03-02	ERR407085	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373447	150	NG-5241_STD.BS17	2014-02-24	54	35	2014-03-02	ERR407086	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373448	150	NG-5241_STD.BS17	2014-02-24	50	33	2014-03-02	ERR407087	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373449	150	NG-5241_STD.BS17	2014-02-24	48	31	2014-03-02	ERR407088	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373450	150	NG-5241_STD.BS17	2014-02-24	51	34	2014-03-02	ERR407089	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338584	2014-01-10	ERX373451	150	NG-5241_STD.BS17	2014-02-24	48	32	2014-03-02	ERR407090	ERS391865	BS17	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373452	150	NG-5241_STD.BS18	2014-02-24	217	140	2014-03-02	ERR407091	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373453	150	NG-5241_STD.BS18	2014-02-24	187	119	2014-03-02	ERR407092	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373454	150	NG-5241_STD.BS18	2014-02-24	199	128	2014-03-02	ERR407093	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373455	150	NG-5241_STD.BS18	2014-02-24	322	219	2014-03-02	ERR407094	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373456	150	NG-5241_STD.BS18	2014-02-24	158	104	2014-03-02	ERR407095	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373457	150	NG-5241_STD.BS18	2014-02-24	31	19	2014-03-02	ERR407096	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373458	150	NG-5241_STD.BS18	2014-02-24	26	17	2014-03-02	ERR407097	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373459	150	NG-5241_STD.BS18	2014-02-24	24	16	2014-03-02	ERR407098	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373460	150	NG-5241_STD.BS18	2014-02-24	28	18	2014-03-02	ERR407099	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338541	2014-01-10	ERX373461	150	NG-5241_STD.BS18	2014-02-24	25	16	2014-03-02	ERR407100	ERS391919	BS18	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373462	150	NG-5241_STD.BS19	2014-02-24	210	156	2014-03-02	ERR407101	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373463	150	NG-5241_STD.BS19	2014-02-24	210	142	2014-03-02	ERR407102	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373464	150	NG-5241_STD.BS19	2014-02-24	195	134	2014-03-02	ERR407103	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373465	150	NG-5241_STD.BS19	2014-02-24	306	198	2014-03-02	ERR407104	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373466	150	NG-5241_STD.BS19	2014-02-24	53	32	2014-03-02	ERR407105	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373467	150	NG-5241_STD.BS19	2014-02-24	49	31	2014-03-02	ERR407106	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373468	150	NG-5241_STD.BS19	2014-02-24	47	30	2014-03-02	ERR407107	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373469	150	NG-5241_STD.BS19	2014-02-24	51	32	2014-03-02	ERR407108	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338539	2014-01-10	ERX373470	150	NG-5241_STD.BS19	2014-02-24	48	30	2014-03-02	ERR407109	ERS391866	BS19	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373471	150	NG-5241_STD.BS1	2014-02-24	195	129	2014-03-02	ERR407110	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373472	150	NG-5241_STD.BS1	2014-02-24	63	39	2014-03-02	ERR407111	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373473	150	NG-5241_STD.BS1	2014-02-24	57	35	2014-03-02	ERR407112	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373474	150	NG-5241_STD.BS1	2014-02-24	64	41	2014-03-02	ERR407113	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373475	150	NG-5241_STD.BS1	2014-02-24	52	32	2014-03-02	ERR407114	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373476	150	NG-5241_STD.BS1	2014-02-24	537	375	2014-03-02	ERR407115	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373477	150	NG-5241_STD.BS1	2014-02-24	521	365	2014-03-02	ERR407116	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338587	2014-01-10	ERX373478	150	NG-5241_STD.BS1	2014-02-24	128	80	2014-03-02	ERR407117	ERS391881	BS1	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373479	150	NG-5241_STD.BS20	2014-02-24	328	231	2014-03-02	ERR407118	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373480	150	NG-5241_STD.BS20	2014-02-24	124	72	2014-03-02	ERR407119	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373481	150	NG-5241_STD.BS20	2014-02-24	125	76	2014-03-02	ERR407120	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373482	150	NG-5241_STD.BS20	2014-02-24	124	75	2014-03-02	ERR407121	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373483	150	NG-5241_STD.BS20	2014-02-24	127	78	2014-03-02	ERR407122	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338592	2014-01-10	ERX373484	150	NG-5241_STD.BS20	2014-02-24	125	77	2014-03-02	ERR407123	ERS391920	BS20	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373485	150	NG-5241_STD.BS21	2014-02-24	156	102	2014-03-02	ERR407124	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373486	150	NG-5241_STD.BS21	2014-02-24	211	129	2014-03-02	ERR407125	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373487	150	NG-5241_STD.BS21	2014-02-24	197	121	2014-03-02	ERR407126	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373488	150	NG-5241_STD.BS21	2014-02-24	268	183	2014-03-02	ERR407127	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373489	150	NG-5241_STD.BS21	2014-02-24	40	25	2014-03-02	ERR407128	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338560	2014-01-10	ERX373490	150	NG-5241_STD.BS21	2014-02-24	40	26	2014-03-02	ERR407129	ERS391867	BS21	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373491	150	NG-5241_STD.BS22	2014-02-24	155	102	2014-03-02	ERR407130	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373492	150	NG-5241_STD.BS22	2014-02-24	236	164	2014-03-02	ERR407131	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373493	150	NG-5241_STD.BS22	2014-02-24	191	117	2014-03-02	ERR407132	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373494	150	NG-5241_STD.BS22	2014-02-24	180	111	2014-03-02	ERR407133	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373495	150	NG-5241_STD.BS22	2014-02-24	35	22	2014-03-02	ERR407134	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338549	2014-01-10	ERX373496	150	NG-5241_STD.BS22	2014-02-24	35	23	2014-03-02	ERR407135	ERS391921	BS22	May 2010	Germany	54.283867,9.948808	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338581	2014-01-10	ERX373497	150	NG-5241_STD.BS23	2014-02-24	192	128	2014-03-02	ERR407136	ERS391868	BS23	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338581	2014-01-10	ERX373498	150	NG-5241_STD.BS23	2014-02-24	557	397	2014-03-02	ERR407137	ERS391868	BS23	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338581	2014-01-10	ERX373499	150	NG-5241_STD.BS23	2014-02-24	558	399	2014-03-02	ERR407138	ERS391868	BS23	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
